year,date,time,latitude,longitude,depth,surface_wave_magnitude,abe_magnitude,intensity,max_height,moment_magnitude,available_observations,damage_code,cause,validity,warning_status,region_code,basic_reference,source_region
1938,06 Nov,08:53:55,37.39,142.3,30,7.6,7.3,-2.0,0.21,0.0,3,N,E,4,N/A,JAP,IID,"Off Fukushima,Sanriku. Japan"
1938,06 Nov,21:38:48,37.02,142.43,25,7.0,7.4,0.0,1.3,0.0,12,S,E,4,N/A,JAP,IID,"Off Fukushima,Sanriku. Japan"
1938,09 Nov,02:22:25,37.49,141.23,2,6.5,N/A,N/A,N/A,N/A,0,0,E,0,N/A,JAP,IID,"OFF FUKUSHIMA PREF., JAPAN"
1938,10 Nov,20:18:49,55.18,-158.18,35,8.7,8.4,-1.0,0.3,N/A,8,N,E,4,N/A,A-A,LA1,Alaska Peninsula.USA
1938,13 Nov,22:31:31,36.5,142.95,35,7.0,7.1,0.0,0.7,-1.0,7,N,E,4,N/A,JAP,IID,"Off Fukushima,Sanriku. Japan"
1938,16 Nov,11:08:04,37.37,142.05,1,6.9,N/A,N/A,N/A,N/A,0,0,E,0,N/A,JAP,IID,Off Fukushima Pref. Japan
1938,22 Nov,01:14:05,36.66,142.51,25,6.6,6.7,-2.0,0.2,-1.0,4,N,E,4,N/A,JAP,IID,"Off Fukushima,Sanriku.Japan"
1938,30 Nov,02:29:57,37.06,142.09,30,6.9,7.0,-2.0,0.19,-1.0,7,N,E,4,N/A,JAP,IID,"Off Fukushima,Sanriku.Japan"
1939,30 Nov,00:00:00,14.6,-61.6,N/A,N/A,N/A,1.0,N/A,N/A,0,0,L,3,N/A,CAR,PARC,Martinique
1939,25 Jan,03:32:15,-36.31,-72.32,35,7.8,N/A,N/A,N/A,0.0,0,0,E,2,N/A,SAM,LOC,CENTRAL CHILE
1939,27 Jan,20:10:15,38.5,14.7,15,N/A,N/A,N/A,N/A,N/A,0,0,V,1,N/A,MED,SO1,N/A
1939,30 Jan,02:18:30,-7.04,155.47,35,7.8,N/A,1.0,2.0,1.0,2,S,E,3,N/A,NGS,EV1,Solomon Islands
1939,20 Mar,03:22:27,32.51,131.69,25,6.5,6.7,0.0,0.8,-1.0,4,N,E,4,N/A,JAP,IID,"Hiuganada,Seikaido. Japan"
1939,02 Apr,01:00:00,53.0,158.5,N/A,N/A,N/A,1.0,N/A,1.0,0,0,L,3,N/A,K-K,SEMN,"Avacha Bay, Kamchatka"
1939,18 Apr,06:22:44,-27.18,-70.84,35,7.4,N/A,N/A,N/A,N/A,0,0,E,2,N/A,SAM,LOC,N. CENTRAL CHILE
1939,30 Apr,02:55:30,-9.87,159.81,15,8.0,N/A,3.0,10.5,3.5,2,L,E,3,N/A,NGS,EV1,Solomon Islands
1939,01 May,05:58:30,39.95,139.68,10,7.0,6.9,-2.0,0.2,-1.0,4,N,E,4,N/A,JAP,IID,"NW.Honshu,Oga pen.,Akita.Japan"
1939,06 May,17:00:07,13.74,120.94,14,6.5,N/A,N/A,N/A,N/A,0,0,E,1,N/A,PHI,WWT,SULU SEA
1939,08 May,01:46:52,37.17,-24.34,10,7.0,N/A,0.0,N/A,N/A,0,0,E,2,N/A,NEA,PARC,"Angra, Ponta Delgada, Azores"
